Time,Power,Mode,BatteryVoltage,CurrX,CurrY,TargetX,TargetY,RPM_M1,DriveM1,TargetM1,RPM_M2,DriveM2,TargetM2,TargetDeg,TargetDis,CurrDeg,CurrDis
40519.0,1,1,9.1,0.0,0.0,1.0,0.0,-23.7,-155,50.0,-26.7,-155,50.0,0.0,1.0,-45.4,0.0
40704.0,1,1,9.3,0.0,0.0,1.0,0.0,-33.2,-105,50.0,-10.4,9,50.0,0.0,1.0,4.1,-0.0
40881.0,1,1,10.2,0.0,0.0,1.0,0.0,6.9,13,50.0,28.4,109,50.0,0.0,1.0,6.6,-0.0
41056.0,1,1,9.9,0.0,0.0,1.0,0.0,26.2,107,50.0,21.4,183,50.0,0.0,1.0,7.9,-0.0
41233.0,1,1,12.4,0.0,0.0,1.0,0.0,52.2,133,50.0,56.1,209,50.0,0.0,1.0,8.5,0.0
41410.0,1,1,12.4,0.0,0.0,1.0,0.0,63.3,111,30.0,74.0,153,-30.0,0.0,1.0,2.9,0.0
41587.0,1,1,11.3,0.0,0.0,1.0,0.0,48.8,103,50.0,50.7,129,50.0,0.0,1.0,-3.0,0.1
41764.0,1,1,12.4,0.0,0.0,1.0,0.0,47.3,115,50.0,48.2,133,50.0,0.0,1.0,7.3,0.1
41942.0,1,1,10.7,0.0,0.0,1.0,0.0,50.5,117,30.0,50.5,139,-30.0,0.0,1.0,5.9,0.1
42120.0,1,1,10.8,0.0,0.0,1.0,0.0,50.3,119,50.0,50.3,145,50.0,0.0,1.0,7.3,0.2
42296.0,1,1,12.4,0.0,0.0,1.0,0.0,51.3,119,50.0,48.4,141,50.0,0.0,1.0,4.4,0.2
42473.0,1,1,10.1,0.0,0.0,1.0,0.0,51.3,125,50.0,52.3,145,50.0,0.0,1.0,10.1,0.2
42649.0,1,1,8.9,0.0,0.0,1.0,0.0,34.9,73,50.0,3.9,-25,50.0,0.0,1.0,-4.6,0.3
42824.0,1,1,12.0,0.0,0.0,1.0,0.0,33.3,153,50.0,19.6,85,50.0,0.0,1.0,-0.8,0.3
43000.0,1,1,9.8,0.0,0.0,1.0,0.0,62.9,143,50.0,38.7,153,50.0,0.0,1.0,-3.4,0.3
43176.0,1,1,9.5,0.0,0.0,1.0,0.0,70.8,85,-30.0,54.3,155,30.0,0.0,1.0,-10.7,0.3
43356.0,1,1,9.4,0.0,0.0,1.0,0.0,0.0,-89,-30.0,33.6,97,30.0,0.0,1.0,-9.1,0.3
43533.0,1,1,12.4,0.0,0.0,1.0,0.0,14.5,43,50.0,28.1,183,50.0,0.0,1.0,4.1,0.3
43708.0,1,1,12.4,0.0,0.0,1.0,0.0,34.9,103,50.0,59.1,173,50.0,0.0,1.0,-4.1,0.3
20.0,0,1,8.3,0.0,0.0,0.0,0.0,-4.3,0,0.0,-4.3,0,0.0,0.0,0.0,0.9,0.0
186.0,0,1,12.4,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0,4.4,0.0
353.0,0,1,12.4,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0,3.9,0.0
