Time,Power,Mode,BatteryVoltage,CurrX,CurrY,TargetX,TargetY,RPM_M1,DriveM1,TargetM1,RPM_M2,DriveM2,TargetM2,TargetDeg,TargetDis,CurrDeg,CurrDis
275610.0,1,1,12.4,0.0,0.0,1.0,0.0,-23.5,-155,50.0,-20.5,-155,50.0,0.0,1.0,6.7,0.0
275793.0,1,1,10.1,0.0,0.0,1.0,0.0,5.8,23,50.0,3.8,17,50.0,0.0,1.0,8.9,-0.0
275971.0,1,1,9.0,0.0,0.0,1.0,0.0,23.9,119,50.0,28.7,115,50.0,0.0,1.0,1.1,-0.0
276149.0,1,1,12.4,0.0,0.0,1.0,0.0,31.6,147,50.0,32.5,177,50.0,0.0,1.0,3.6,0.0
276328.0,1,1,9.7,0.0,0.0,1.0,0.0,47.8,167,30.0,67.9,191,-30.0,0.0,1.0,10.0,0.0
276508.0,1,1,12.4,0.0,0.0,1.0,0.0,62.2,139,50.0,68.9,127,50.0,0.0,1.0,-5.0,0.1
276686.0,1,1,9.8,0.0,0.0,1.0,0.0,45.9,141,50.0,45.9,119,50.0,0.0,1.0,9.2,0.1
276866.0,1,1,10.1,0.0,0.0,1.0,0.0,64.4,145,30.0,45.2,145,-30.0,0.0,1.0,2.7,0.1
277045.0,1,1,11.3,0.0,0.0,1.0,0.0,62.9,95,50.0,55.1,139,50.0,0.0,1.0,-6.1,0.2
277221.0,1,1,12.4,0.0,0.0,1.0,0.0,49.5,83,50.0,52.4,149,50.0,0.0,1.0,-6.8,0.2
277398.0,1,1,9.5,0.0,0.0,1.0,0.0,48.5,95,50.0,49.4,151,50.0,0.0,1.0,-10.1,0.3
277578.0,1,1,9.9,0.0,0.0,1.0,0.0,4.7,-67,50.0,32.1,107,50.0,0.0,1.0,-6.2,0.3
277755.0,1,1,9.9,0.0,0.0,1.0,0.0,12.6,39,50.0,28.1,193,50.0,0.0,1.0,9.4,0.3
105.0,0,1,12.4,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0,8.8,0.0
272.0,0,1,12.4,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0,7.4,0.0
438.0,0,1,12.4,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0,8.5,0.0
605.0,0,1,12.4,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0,8.1,0.0
771.0,0,1,12.4,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0,7.9,0.0
937.0,0,1,12.4,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0,7.5,0.0
1103.0,0,1,12.4,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0,8.3,0.0
1270.0,0,1,12.4,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0,9.5,0.0
