Power,Mode,BatteryVoltage,CurrX,CurrY,TargetX,TargetY,RPM_M1,DriveM1,TargetM1,RPM_M2,DriveM2,TargetM2,TargetDeg,TargetDis,CurrDeg,CurrDis
OFF,1,12.4,0.0,0.0,1.0,0.0,0.0,35,0.0,-0.0,-33,0.0,0.0,1.0,88.9,0.0
OFF,1,12.4,0.0,0.0,1.0,0.0,0.0,35,0.0,-0.0,-33,0.0,0.0,1.0,88.7,0.0
OFF,1,12.4,0.0,0.0,1.0,0.0,0.0,35,0.0,-0.0,-33,0.0,0.0,1.0,88.5,0.0
OFF,1,12.4,0.0,0.0,1.0,0.0,0.0,35,0.0,-0.0,-33,0.0,0.0,1.0,88.8,0.0
OFF,1,12.4,0.0,0.0,1.0,0.0,0.0,35,0.0,-0.0,-33,0.0,0.0,1.0,88.3,0.0
OFF,1,12.4,0.0,0.0,1.0,0.0,0.0,35,0.0,-0.0,-33,0.0,0.0,1.0,88.5,0.0
OFF,1,12.4,0.0,0.0,1.0,0.0,0.0,35,0.0,-0.0,-33,0.0,0.0,1.0,88.8,0.0
OFF,1,12.4,0.0,0.0,1.0,0.0,0.0,35,0.0,-0.0,-33,0.0,0.0,1.0,88.5,0.0
OFF,1,12.4,0.0,0.0,1.0,0.0,0.0,35,0.0,-0.0,-33,0.0,0.0,1.0,88.6,0.0
OFF,1,12.4,0.0,0.0,1.0,0.0,0.0,35,0.0,-0.0,-33,0.0,0.0,1.0,88.5,0.0
OFF,1,12.4,0.0,0.0,1.0,0.0,0.0,35,0.0,-0.0,-33,0.0,0.0,1.0,88.5,0.0
OFF,1,12.4,0.0,0.0,1.0,0.0,0.0,35,0.0,-0.0,-33,0.0,0.0,1.0,88.9,0.0
OFF,1,12.4,0.0,0.0,1.0,0.0,0.0,35,0.0,-0.0,-33,0.0,0.0,1.0,88.5,0.0
OFF,1,12.4,0.0,0.0,1.0,0.0,0.0,35,0.0,-0.0,-33,0.0,0.0,1.0,88.5,0.0
OFF,1,12.4,0.0,0.0,1.0,0.0,0.0,35,0.0,-0.0,-33,0.0,0.0,1.0,88.6,0.0
OFF,1,12.4,0.0,0.0,1.0,0.0,0.0,35,0.0,-0.0,-33,0.0,0.0,1.0,89.0,0.0
OFF,1,12.4,0.0,0.0,1.0,0.0,0.0,35,0.0,-0.0,-33,0.0,0.0,1.0,88.5,0.0
OFF,1,12.4,0.0,0.0,1.0,0.0,0.0,35,0.0,-0.0,-33,0.0,0.0,1.0,88.4,0.0
OFF,1,12.4,0.0,0.0,1.0,0.0,0.0,35,0.0,-0.0,-33,0.0,0.0,1.0,88.5,0.0
OFF,1,12.4,0.0,0.0,1.0,0.0,0.0,35,0.0,-0.0,-33,0.0,0.0,1.0,88.4,0.0
